Add_to_lib	group	ISF	name	super class (HMDB)	class (HMDB)	sub class (HMDB)	accession (HMDB)	name (HMDB)	core (LMSD)	main_class (LMSD)	sub_class (LMSD)	lm_id (LMSD)	name (LMSD)	abbrev (LMSD)	abbrev_chains (LMSD)	InChIKey	formula	adduct	feature_m/z	matching_peaks (median)	peak_shape (median)	confidence level	Min.	1st Qu.	Median	3rd Qu.	Max.	%detected	detected_liver	detected_plasma	detected_cm	detected_mouse	Folch1_A_Pos_2uL	Folch1_A_Pos_4uL	Folch2_A_Pos_2uL	Folch2_A_Pos_4uL	Folch3_A_Pos_2uL	Folch3_A_Pos_4uL	MTBE1_A_Pos_2uL	MTBE1_A_Pos_4uL	MTBE2_A_Pos_2uL	MTBE2_A_Pos_4uL	MTBE3_A_Pos_2uL	MTBE3_A_Pos_4uL	MeOHACN1_A_Pos_2uL	MeOHACN1_A_Pos_4uL	NASH_CM_A_Pos_IDA_HRes_QC-1	NASH_CM_A_Pos_IDA_HRes_QC-2	NASH_CM_A_Pos_IDA_HRes_QC-3	NASH_CM_A_Pos_IDA_HRes_QC-4	NASH_CM_A_Pos_IDA_HRes_QC-5	NASH_CM_A_Pos_IDA_Hsens_QC-1	NASH_CM_A_Pos_IDA_Hsens_QC-2	NASH_CM_A_Pos_IDA_Hsens_QC-3	NASH_CM_A_Pos_IDA_Hsens_QC-4	NASH_CM_A_Pos_IDA_Hsens_QC-5	NASH_Liver_A_Pos_IDA_HRes_QC-1 (3)	NASH_Liver_A_Pos_IDA_HRes_QC-2	NASH_Liver_A_Pos_IDA_HRes_QC-3	NASH_Liver_A_Pos_IDA_HRes_QC-4	NASH_Liver_A_Pos_IDA_HRes_QC-5	NASH_Liver_A_Pos_IDA_Hsens_QC-1	NASH_Liver_A_Pos_IDA_Hsens_QC-2	NASH_Liver_A_Pos_IDA_Hsens_QC-3	NASH_Liver_A_Pos_IDA_Hsens_QC-4	NASH_Liver_A_Pos_IDA_Hsens_QC-5	NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-2	NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-3	NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-4	NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-5	NASH_Plasma_A_Pos_Repeat_IDA_QC-1	NASH_Plasma_A_Pos_Repeat_IDA_QC-2	NASH_Plasma_A_Pos_Repeat_IDA_QC-3	NASH_Plasma_A_Pos_Repeat_IDA_QC-4	NASH_Plasma_A_Pos_Repeat_IDA_QC-5	RT_Folch1_A_Pos_2uL	RT_Folch1_A_Pos_4uL	RT_Folch2_A_Pos_2uL	RT_Folch2_A_Pos_4uL	RT_Folch3_A_Pos_2uL	RT_Folch3_A_Pos_4uL	RT_MTBE1_A_Pos_2uL	RT_MTBE1_A_Pos_4uL	RT_MTBE2_A_Pos_2uL	RT_MTBE2_A_Pos_4uL	RT_MTBE3_A_Pos_2uL	RT_MTBE3_A_Pos_4uL	RT_MeOHACN1_A_Pos_2uL	RT_MeOHACN1_A_Pos_4uL	RT_NASH_CM_A_Pos_IDA_HRes_QC-1	RT_NASH_CM_A_Pos_IDA_HRes_QC-2	RT_NASH_CM_A_Pos_IDA_HRes_QC-3	RT_NASH_CM_A_Pos_IDA_HRes_QC-4	RT_NASH_CM_A_Pos_IDA_HRes_QC-5	RT_NASH_CM_A_Pos_IDA_Hsens_QC-1	RT_NASH_CM_A_Pos_IDA_Hsens_QC-2	RT_NASH_CM_A_Pos_IDA_Hsens_QC-3	RT_NASH_CM_A_Pos_IDA_Hsens_QC-4	RT_NASH_CM_A_Pos_IDA_Hsens_QC-5	RT_NASH_Liver_A_Pos_IDA_HRes_QC-1 (3)	RT_NASH_Liver_A_Pos_IDA_HRes_QC-2	RT_NASH_Liver_A_Pos_IDA_HRes_QC-3	RT_NASH_Liver_A_Pos_IDA_HRes_QC-4	RT_NASH_Liver_A_Pos_IDA_HRes_QC-5	RT_NASH_Liver_A_Pos_IDA_Hsens_QC-1	RT_NASH_Liver_A_Pos_IDA_Hsens_QC-2	RT_NASH_Liver_A_Pos_IDA_Hsens_QC-3	RT_NASH_Liver_A_Pos_IDA_Hsens_QC-4	RT_NASH_Liver_A_Pos_IDA_Hsens_QC-5	RT_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-2	RT_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-3	RT_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-4	RT_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-5	RT_NASH_Plasma_A_Pos_Repeat_IDA_QC-1	RT_NASH_Plasma_A_Pos_Repeat_IDA_QC-2	RT_NASH_Plasma_A_Pos_Repeat_IDA_QC-3	RT_NASH_Plasma_A_Pos_Repeat_IDA_QC-4	RT_NASH_Plasma_A_Pos_Repeat_IDA_QC-5	score_Folch1_A_Pos_2uL	score_Folch1_A_Pos_4uL	score_Folch2_A_Pos_2uL	score_Folch2_A_Pos_4uL	score_Folch3_A_Pos_2uL	score_Folch3_A_Pos_4uL	score_MTBE1_A_Pos_2uL	score_MTBE1_A_Pos_4uL	score_MTBE2_A_Pos_2uL	score_MTBE2_A_Pos_4uL	score_MTBE3_A_Pos_2uL	score_MTBE3_A_Pos_4uL	score_MeOHACN1_A_Pos_2uL	score_MeOHACN1_A_Pos_4uL	score_NASH_CM_A_Pos_IDA_HRes_QC-1	score_NASH_CM_A_Pos_IDA_HRes_QC-2	score_NASH_CM_A_Pos_IDA_HRes_QC-3	score_NASH_CM_A_Pos_IDA_HRes_QC-4	score_NASH_CM_A_Pos_IDA_HRes_QC-5	score_NASH_CM_A_Pos_IDA_Hsens_QC-1	score_NASH_CM_A_Pos_IDA_Hsens_QC-2	score_NASH_CM_A_Pos_IDA_Hsens_QC-3	score_NASH_CM_A_Pos_IDA_Hsens_QC-4	score_NASH_CM_A_Pos_IDA_Hsens_QC-5	score_NASH_Liver_A_Pos_IDA_HRes_QC-1 (3)	score_NASH_Liver_A_Pos_IDA_HRes_QC-2	score_NASH_Liver_A_Pos_IDA_HRes_QC-3	score_NASH_Liver_A_Pos_IDA_HRes_QC-4	score_NASH_Liver_A_Pos_IDA_HRes_QC-5	score_NASH_Liver_A_Pos_IDA_Hsens_QC-1	score_NASH_Liver_A_Pos_IDA_Hsens_QC-2	score_NASH_Liver_A_Pos_IDA_Hsens_QC-3	score_NASH_Liver_A_Pos_IDA_Hsens_QC-4	score_NASH_Liver_A_Pos_IDA_Hsens_QC-5	score_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-2	score_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-3	score_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-4	score_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-5	score_NASH_Plasma_A_Pos_Repeat_IDA_QC-1	score_NASH_Plasma_A_Pos_Repeat_IDA_QC-2	score_NASH_Plasma_A_Pos_Repeat_IDA_QC-3	score_NASH_Plasma_A_Pos_Repeat_IDA_QC-4	score_NASH_Plasma_A_Pos_Repeat_IDA_QC-5	CE_Folch1_A_Pos_2uL	CE_Folch1_A_Pos_4uL	CE_Folch2_A_Pos_2uL	CE_Folch2_A_Pos_4uL	CE_Folch3_A_Pos_2uL	CE_Folch3_A_Pos_4uL	CE_MTBE1_A_Pos_2uL	CE_MTBE1_A_Pos_4uL	CE_MTBE2_A_Pos_2uL	CE_MTBE2_A_Pos_4uL	CE_MTBE3_A_Pos_2uL	CE_MTBE3_A_Pos_4uL	CE_MeOHACN1_A_Pos_2uL	CE_MeOHACN1_A_Pos_4uL	CE_NASH_CM_A_Pos_IDA_HRes_QC-1	CE_NASH_CM_A_Pos_IDA_HRes_QC-2	CE_NASH_CM_A_Pos_IDA_HRes_QC-3	CE_NASH_CM_A_Pos_IDA_HRes_QC-4	CE_NASH_CM_A_Pos_IDA_HRes_QC-5	CE_NASH_CM_A_Pos_IDA_Hsens_QC-1	CE_NASH_CM_A_Pos_IDA_Hsens_QC-2	CE_NASH_CM_A_Pos_IDA_Hsens_QC-3	CE_NASH_CM_A_Pos_IDA_Hsens_QC-4	CE_NASH_CM_A_Pos_IDA_Hsens_QC-5	CE_NASH_Liver_A_Pos_IDA_HRes_QC-1 (3)	CE_NASH_Liver_A_Pos_IDA_HRes_QC-2	CE_NASH_Liver_A_Pos_IDA_HRes_QC-3	CE_NASH_Liver_A_Pos_IDA_HRes_QC-4	CE_NASH_Liver_A_Pos_IDA_HRes_QC-5	CE_NASH_Liver_A_Pos_IDA_Hsens_QC-1	CE_NASH_Liver_A_Pos_IDA_Hsens_QC-2	CE_NASH_Liver_A_Pos_IDA_Hsens_QC-3	CE_NASH_Liver_A_Pos_IDA_Hsens_QC-4	CE_NASH_Liver_A_Pos_IDA_Hsens_QC-5	CE_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-2	CE_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-3	CE_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-4	CE_NASH_Plasma_A_Pos_Repeat_IDA_Hsens_QC-5	CE_NASH_Plasma_A_Pos_Repeat_IDA_QC-1	CE_NASH_Plasma_A_Pos_Repeat_IDA_QC-2	CE_NASH_Plasma_A_Pos_Repeat_IDA_QC-3	CE_NASH_Plasma_A_Pos_Repeat_IDA_QC-4	CE_NASH_Plasma_A_Pos_Repeat_IDA_QC-5
Y	522		Trimethylamine N-oxide 2M+H NIST	Organic nitrogen compounds	Organonitrogen compounds	Aminoxides	HMDB0000925	Trimethylamine N-oxide								UYPYRKYUKCHHIB-UHFFFAOYSA-N	C3H9NO	2M+H	151.1478	0	12	MS1	1.05	1.24	1.25	1.45	1.81	0.76	1	1	1	0.642857142857143		827.6, 351.6				1578.9	1494.7	2365.1		1315.9	1345.9	2620.9	157.1, 2234.8	2369.8	3236.9	3599.3, 738.5	3092.5, 792.7	3447.5, 504.7	3699.0	2268.9, 869.4	3905.8, 1105.9	3514.8, 1390.3	3581.0	4568.6, 1062.1	3732.2	3807.5	4420.8	4275.2	4191.8	3960.7	4651.0	4617.1	4733.8	3989.0	6577.6	5845.8	6157.1	7162.8, 1214.0	6888.3, 1176.0	6405.4	5582.5, 1376.5, 636.8	6156.6, 470.8	6217.2		1.21, 1.45				1.25	1.20	1.33		1.21	1.20	1.21	1.05, 1.22	1.21	1.25	1.24, 1.61	1.24, 1.62	1.24, 1.63	1.26	1.27, 1.67	1.24, 1.63	1.25, 1.62	1.26	1.25, 1.63	1.24	1.24	1.26	1.25	1.25	1.27	1.24	1.25	1.25	1.25	1.27	1.26	1.26	1.29, 1.61	1.24, 1.81	1.25	1.25, 1.60, 1.78	1.26, 1.79	1.25		0.00				0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02, 0.00	0.00	0.00	0.00	0.00		0				0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y	523		Benzisothiazolone (BIT); LC-ESI-ITFT; MS2; CE M+H MassBank	Organoheterocyclic compounds	Benzothiazoles		HMDB0034413	1,2-Benzisothiazol-3(2H)-one								DMSMPAJRVJJAGA-UHFFFAOYSA-N	C7H5NOS	M+H	152.016	0	12	MS1	6.99	6.99	7.01	7.01	7.02	0.18	0	1	0	0																																			4434.7	4797.5	5045.8	4543.6	5067.2	4718.7	4380.9	4326.1	4500.2																																			7.01	6.99	6.99	7.01	7.02	7.00	6.99	7.01	7.02																																			0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																																			0	0	0	0	0	0	0	0	0
Y	524		1,2-Benzisothiazol-3(2H)-one M+H HMDB --- 2(3H)-Benzothiazolone M+H HMDB	Organoheterocyclic compounds	Benzothiazoles		HMDB0034413, HMDB0249030	1,2-Benzisothiazol-3(2H)-one --- 2(3H)-Benzothiazolone								DMSMPAJRVJJAGA-UHFFFAOYSA-N, YEDUAINPPJYDJZ-UHFFFAOYSA-N	C7H5NOS	M+H	152.016	0	12	MS1	6.99	7.01	7.01	7.01	7.02	0.1	0	0.555555555555556	0	0																																			4434.7			4543.6			4380.9	4326.1	4500.2																																			7.01			7.01			6.99	7.01	7.02																																			0.00			0.00			0.00	0.00	0.00																																			0			0			0	0	0
Y	524		1,2-Benzisothiazol-3(2H)-one M+H HMDB --- 2(3H)-Benzothiazolone M+H HMDB	Organoheterocyclic compounds	Benzothiazoles		HMDB0034413, HMDB0249030	1,2-Benzisothiazol-3(2H)-one --- 2(3H)-Benzothiazolone								DMSMPAJRVJJAGA-UHFFFAOYSA-N, YEDUAINPPJYDJZ-UHFFFAOYSA-N	C7H5NOS	M+H	152.0217	0	10	MS1	13.36	13.42	13.46	13.48	13.51	0.47	0.4	0.666666666666667	0	1	11464.9	13499.3	12517.2	14732.0	11576.5	15212.3	9237.6	10119.6	8386.2	9935.2	7361.6	9277.9	7901.0	10155.3												1906.3		1901.1	1813.7					2068.4	2337.9	2510.7		2483.2			2405.3	2647.5	2456.3	13.45	13.46	13.46	13.46	13.46	13.47	13.49	13.49	13.47	13.50	13.49	13.51	13.48	13.51												13.36		13.39	13.36					13.37	13.41	13.41		13.42			13.42	13.42	13.42	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00												0.00		0.00	0.00					0.00	0.00	0.19		0.00			0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0		0	0					0	0	0		0			0	0	0
Y	537		Xanthine M+H HMDB	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	HMDB0000292	Xanthine								LRFVTYWOQMYALW-UHFFFAOYSA-N	C5H4N4O2	M+H	153.0423	0	12	MS1	12.32	12.39	12.45	12.45	12.48	0.24	0.9	0	0.3	0																1429.8				1321.5			1605.7		1061.5	1125.5	1020.7	1216.4	1147.6	1241.8		1173.1	1299.3	1385.1																									12.34				12.32			12.34		12.48	12.46	12.45	12.45	12.44	12.43		12.45	12.45	12.45																									0.00				0.00			0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00																									0				0			0		0	0	0	0	0	0		0	0	0									
Y	539		Oxypurinol M+H HMDB	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	HMDB0000786	Oxypurinol								HXNFUBHNUDHIGC-UHFFFAOYSA-N	C5H4N4O2	M+H	153.0422	0	12	MS1	12.33	12.34	12.36	12.45	12.48	0.29	0.6	0	0.9	0															1288.7	1429.8	1450.7	1349.4	1476.9		1381.8	1357.7	1605.7	1572.1	1061.5			1216.4		1241.8		1173.1	1299.3	1385.1																								12.36	12.34	12.36	12.35	12.36		12.34	12.33	12.34	12.35	12.48			12.45		12.43		12.45	12.45	12.45																								0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00			0.00		0.00		0.00	0.00	0.00																								0	0	0	0	0		0	0	0	0	0			0		0		0	0	0									
Y	540		DL-Malic acid M+H+H2O NIST --- Oxypurinol; LC-ESI-QTOF; MS2; CE M+H MassBank	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	HMDB0000786	Oxypurinol								BJEPYKJPYRNKOW-UHFFFAOYSA-N, HXNFUBHNUDHIGC-UHFFFAOYSA-N	C5H4N4O2	M+H, M+H+H2O	153.0422	0	12	MS1	12.32	12.34	12.4	12.45	12.48	0.39	1	0	1	0															1288.7	1429.8	1450.7	1349.4	1476.9	1321.5	1381.8	1357.7	1605.7	1572.1	1061.5	1125.5	1020.7	1216.4	1147.6	1241.8	992.8	1173.1	1299.3	1385.1																								12.36	12.34	12.36	12.35	12.36	12.32	12.34	12.33	12.34	12.35	12.48	12.46	12.45	12.45	12.44	12.43	12.44	12.45	12.45	12.45																								0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Y	541		Phenylthiourea M+H HMDB	Benzenoids	Benzene and substituted derivatives	N-phenylthioureas	HMDB0256448	Phenylthiourea								FULZLIGZKMKICU-UHFFFAOYSA-N	C7H8N2S	M+H	153.0476	0	12	MS1	6.99	7.01	7.01	7.39	7.81	0.2	0	1	0	0.0714285714285714				179.2																															17056.0	17795.9, 1887.3	16532.7	17090.5	19192.9	17447.9	17179.7, 2051.0	16189.0, 886.1	17022.3, 2021.9				7.81																															7.01	7.01, 7.54	7.00	7.01	7.02	7.00	6.99, 7.55	7.01, 7.24	7.01, 7.57				0.00																															0.05	0.00	0.00	0.00	0.37	0.00	0.05, 0.00	0.00	0.00				0																															0	0	0	0	0	0	0	0	0
Y	542		p-Anisic acid M+H HMDB	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	HMDB0001101	p-Anisic acid								ZEYHEAKUIGZSGI-UHFFFAOYSA-N	C8H8O3	M+H	153.0478	0	12	MS1	6.73	7	7.01	7.01	7.24	0.16	0	0.666666666666667	0	0																																				17795.9	16532.7	17090.5		17447.9		16189.0, 886.1	17022.3																																				7.01	7.00	7.01		7.00		7.01, 7.24	7.01																																				0.00	0.00	0.00		0.00		0.00	0.00																																				0	0	0		0		0	0
Y	543		Cystamine M+H NIST	Organosulfur compounds	Organic disulfides	Dialkyldisulfides	HMDB0250701	Cystamine								APQPRKLAWCIJEK-UHFFFAOYSA-N	C4H12N2S2	M+H	153.0478	0	12	MS1	6.73	7	7.01	7.01	7.24	0.16	0	0.666666666666667	0	0																																				17795.9	16532.7	17090.5		17447.9		16189.0, 886.1	17022.3																																				7.01	7.00	7.01		7.00		7.01, 7.24	7.01																																				0.00	0.00	0.00		0.00		0.00	0.00																																				0	0	0		0		0	0
Y	544		3-Methyl-2-oxopentanoic acid M+Na NIST	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	HMDB0000491	3-Methyl-2-oxovaleric acid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Methyl branched fatty acids [FA0102]	LMFA01020275 --- LMFA01020280	2oxo-3R-methyl-pentanoic acid --- 3S-methyl-2-oxo-pentanoic acid	FA 6:1;O		JVQYSWDUAOAHFM-UHFFFAOYSA-N	C6H10O3	M+Na	153.0478	0	12	MS1	6.73	7	7.01	7.01	7.24	0.16	0	0.666666666666667	0	0																																				17795.9	16532.7	17090.5		17447.9		16189.0, 886.1	17022.3																																				7.01	7.00	7.01		7.00		7.01, 7.24	7.01																																				0.00	0.00	0.00		0.00		0.00	0.00																																				0	0	0		0		0	0
Y	545		2',4'-Dihydroxyacetophenone M+H HMDB --- 2',4'-Dihydroxyacetophenone M+H NIST --- 2,5-Dihydroxyacetophenone M+H NIST --- 2-Hydroxy-4-methylbenzoic acid M+H NIST --- 2-Methoxybenzoic acid M+H HMDB --- 2-Methoxybenzoic acid M+H NIST --- 3-Cresotinic acid M+H HMDB --- 3-Hydroxyphenylacetic acid M+H FiehnHILIC --- 3-Hydroxyphenylacetic acid M+H HMDB --- 3-Methoxybenzoic acid M+H HMDB --- 4-Hydroxy-2-methoxybenzaldehyde M+H NIST --- 4-Hydroxy-3-methylbenzoic acid M+H NIST --- 4-Hydroxyphenylacetic acid M+H NIST --- 5-Hydroxydopamine M+H-NH3 NIST --- 6-Hydroxydopamine M+H-NH3 NIST --- Benzaldehyde, 2-hydroxy-3-methoxy- M+H NIST --- Benzaldehyde, 2-hydroxy-4-methoxy- M+H NIST --- Benzaldehyde, 2-hydroxy-5-methoxy- M+H NIST --- Benzaldehyde, 3-hydroxy-4-methoxy- M+H NIST --- Benzeneacetic acid, 2-hydroxy- M+H NIST --- Benzoic acid, 3-methoxy- M+H NIST --- Benzoic acid, 4-methoxy- M+H NIST --- DL-3,4-Dihydroxyphenyl glycol M+H-H2O NIST --- Methylparaben M+H HMDB --- Methylparaben M+H NIST --- P-Anisic acid M+H FiehnHILIC --- Resorcinol, 2-acetyl- M+H NIST --- Vanillin M+H FiehnHILIC --- Vanillin M+H HMDB --- Vanillin M+H NIST --- m-Anisic-acid; LC-ESI-QTOF; MS2; [M+H]+; CE M+H MassBank --- o-Anisic acid; LC-ESI-ITFT; MS2; CE 35 eV; [M+H]+ M+H MassBank --- o-Anisic acid; LC-ESI-ITFT; MS2; CE 45 eV; [M+H]+ M+H MassBank --- o-Anisic acid; LC-ESI-ITFT; MS2; CE 55 eV; [M+H]+ M+H MassBank --- o-Anisic acid; LC-ESI-ITFT; MS2; CE 70 eV; [M+H]+ M+H MassBank --- o-Anisic acid; LC-ESI-QTOF; MS2; CE M+H MassBank --- ortho-Hydroxyphenylacetic acid M+H HMDB --- p-Anisic acid M+H FiehnHILIC --- p-Hydroxyphenylacetic acid M+H HMDB	Benzenoids --- Organic oxygen compounds	Benzene and substituted derivatives --- Organooxygen compounds --- Phenols	1-hydroxy-2-unsubstituted benzenoids --- 1-hydroxy-4-unsubstituted benzenoids --- Benzenediols --- Benzoic acids and derivatives --- Carbonyl compounds --- Methoxyphenols --- Phenylacetic acids	HMDB0000020, HMDB0000318, HMDB0000440, HMDB0000669, HMDB0001101, HMDB0001537, HMDB0002390, HMDB0004815, HMDB0004817, HMDB0012308, HMDB0029659, HMDB0029660, HMDB0032572, HMDB0032604, HMDB0032606, HMDB0032629	2',4'-Dihydroxyacetophenone --- 2',5'-Dihydroxyacetophenone --- 2',6'-Dihydroxyacetophenone --- 2-Methoxybenzoic acid --- 3,4-Dihydroxyphenylglycol --- 3-Cresotinic acid --- 3-Hydroxyphenylacetic acid --- 3-Methoxybenzoic acid --- 4-Hydroxy-3-methylbenzoic acid --- 5-Hydroxydopamine --- 6-Hydroxydopamine --- Methylparaben --- Vanillin --- ortho-Hydroxyphenylacetic acid --- p-Anisic acid --- p-Hydroxyphenylacetic acid								CCVYRRGZDBSHFU-UHFFFAOYSA-N, DIVDFFZHCJEHGG-UHFFFAOYSA-N, FVMDYYGIDFPZAX-UHFFFAOYSA-N, FZHSPPYCNDYIKD-UHFFFAOYSA-N, ILUJQPXNXACGAN-UHFFFAOYSA-N, JJVNINGBHGBWJH-UHFFFAOYSA-N, JVTZFYYHCGSXJV-UHFFFAOYSA-N, LCAINUZZHIZKKS-UHFFFAOYSA-N, LTFHNKUKQYVHDX-UHFFFAOYSA-N, LXCFILQKKLGQFO-UHFFFAOYSA-N, MTVWFVDWRVYDOR-UHFFFAOYSA-N, MWOOGOJBHIARFG-UHFFFAOYSA-N, NJESAXZANHETJV-UHFFFAOYSA-N, SULYEHHGGXARJS-UHFFFAOYSA-N, WBIZZNFQJPOKDK-UHFFFAOYSA-N, WHSXTWFYRGOBGO-UHFFFAOYSA-N, WLDWSGZHNBANIO-UHFFFAOYSA-N, WZUODJNEIXSNEU-UHFFFAOYSA-N, XHQZJYCNDZAGLW-UHFFFAOYSA-N, XQXPVVBIMDBYFF-UHFFFAOYSA-N, YPTJKHVBDCRKNF-UHFFFAOYSA-N, ZEYHEAKUIGZSGI-UHFFFAOYSA-N	C8H10O4, C8H11NO3, C8H8O3	M+H, M+H-H2O, M+H-NH3	153.0587	0	12	MS1	10.1	10.12	10.16	10.16	10.18	0.25	0	1	0	0.285714285714286							1609.5	2526.3			2254.6	2234.9																							4378.5	3560.1	16367.9	3247.1	4253.7	3608.2	4041.9	3350.6	3762.5							10.12	10.10			10.11	10.16																							10.17	10.16	10.14	10.17	10.18	10.18	10.16	10.17	10.16							0.00	0.00			0.00	0.00																							0.25	0.00	0.30	0.00	0.00	0.17	0.00	0.32	0.00							0	0			0	0																							0	0	0	0	0	0	0	0	0
Y	547		Hydroxyurea 2M+H NIST	Organic acids and derivatives	Carboximidic acids and derivatives		HMDB0015140	Hydroxyurea								VSNHCAURESNICA-UHFFFAOYSA-N	CH4N2O2	2M+H	153.0655	0	10	MS1	3.86	3.87	3.88	3.9	3.95	0.2	0.8	0	0.1	0																		193408.5								36147.0	36518.0	35031.8		32973.2	35572.1	36951.8	36716.6	36329.8																											3.86								3.87	3.87	3.86		3.95	3.89	3.90	3.90	3.90																											0.00								0.00	0.00	0.00		0.30	0.31	0.02	0.00	0.00																											0								0	0	0		0	0	0	0	0									
Y	547		Hydroxyurea 2M+H NIST	Organic acids and derivatives	Carboximidic acids and derivatives		HMDB0015140	Hydroxyurea								VSNHCAURESNICA-UHFFFAOYSA-N	CH4N2O2	2M+H	153.0587	0	12	MS1	10.1	10.12	10.16	10.16	10.18	0.18	0	0.555555555555556	0	0.285714285714286							1609.5	2526.3			2254.6	2234.9																								3560.1		3247.1	4253.7		4041.9		3762.5							10.12	10.10			10.11	10.16																								10.16		10.17	10.18		10.16		10.16							0.00	0.00			0.00	0.00																								0.00		0.00	0.00		0.00		0.00							0	0			0	0																								0		0	0		0		0
Y	547		Hydroxyurea 2M+H NIST	Organic acids and derivatives	Carboximidic acids and derivatives		HMDB0015140	Hydroxyurea								VSNHCAURESNICA-UHFFFAOYSA-N	CH4N2O2	2M+H	153.0586	0	12	MS1	10.99	11.1	11.11	11.12	11.13	0.31	0.8	0	0	0.428571428571429							10523.4	14463.4	7268.0		5907.4	7841.7	4232.7												8816.3	7628.2	7934.9	7353.8	7311.7			7629.7	7341.4	6896.2																11.12	11.12	11.12		11.12	11.13	11.13												11.10	11.10	11.10	11.11	11.10			11.10	11.10	11.10																0.00	0.00	0.00		0.00	0.00	0.00												0.00	0.00	0.00	0.00	0.00			0.00	0.00	0.00																0	0	0		0	0	0												0	0	0	0	0			0	0	0									
Y	552		2-Isopropyl-6-methyl-4-pyrimidone M+H HMDB	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	HMDB0245733	2-Isopropyl-6-methyl-4-pyrimidone								AJPIUNPJBFBUKK-UHFFFAOYSA-N	C8H12N2O	M+H	153.1016	0	12	MS1	1.77	1.78	2.21	2.21	2.45	0.25	1	0	0.1	0.0714285714285714				235.2																126049.8, 90582.7					6121.1, 8342.4, 983.5	6004.8, 7121.3	7534.9	6300.8, 7607.2	6435.6, 7612.4	6842.9, 8502.4	7328.2, 7781.2	7496.8, 7081.6	6865.1, 8154.9	7264.5													2.11																2.27, 1.78					1.77, 2.22, 2.45	1.79, 2.22	2.21	1.79, 2.21	1.78, 2.21	1.77, 2.28	1.78, 2.22	2.21, 1.78	1.79, 2.21	2.21													0.00																0.19, 0.14					0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.15, 0.12	0.00	0.12													0																0					0	0	0	0	0	0	0	0	0	0									
